swing_id,session,user,level,side,pelvis_peak_vel,pelvis_peak_time_rel_hs,wrist_peak_vel,wrist_peak_time_rel_hs
302_6,302,30,college,R,769.7334774214773,0.09719999999999995,1080.1199774567544,0.16389999999999993
302_7,302,30,college,R,776.32195397838,0.10560000000000014,1169.7267637929467,0.16390000000000016
302_8,302,30,college,R,735.1805212074786,0.11389999999999989,1459.2223738327857,0.16389999999999993
313_1,313,90,college,L,581.1881044156358,0.11670000000000003,1490.6693224606624,0.16949999999999998
313_2,313,90,college,L,581.4922747255891,0.10829999999999984,946.4023004942613,0.16389999999999993
313_3,313,90,college,L,617.3257666025775,0.10550000000000015,1532.0133436238375,0.16110000000000002
313_4,313,90,college,L,597.2214619697036,0.1028,776.5803890646222,0.13339999999999996
313_5,313,90,college,L,599.3795762934452,0.12220000000000009,820.8685579432922,0.17220000000000013
313_6,313,90,college,L,591.4409085244696,0.11109999999999998,1289.3625054164286,0.16389999999999993
313_7,313,90,college,L,583.1209756797126,0.1028,1465.8180708257728,0.1555000000000002
313_8,313,90,college,L,680.1341954472514,0.11109999999999998,1304.0989978148782,0.15559999999999996
320_1,320,194,college,R,735.8836780948807,0.4361,1462.7749540896473,0.5195000000000001
320_2,320,194,college,R,740.016908617222,0.13050000000000006,1347.6131391090137,0.19720000000000004
320_3,320,194,college,R,778.4406015656044,0.21389999999999998,1725.6648227905962,0.3194
320_4,320,194,college,R,748.3186363139367,0.21110000000000007,1679.9753586175423,0.3166
320_5,320,194,college,R,747.3959333957605,0.43890000000000007,1766.5676390894432,0.5055000000000001
320_6,320,194,college,R,714.2153329480753,0.4111,1152.4558216494202,0.4861
320_7,320,194,college,R,735.754989822869,0.38059999999999994,1660.283257569253,0.4778
320_8,320,194,college,R,693.8667437414623,0.09440000000000004,1818.8994913246252,0.18610000000000004
321_1,321,126,high_school,R,636.2062007335751,0.07769999999999999,1223.6157654224835,0.13880000000000003
321_2,321,126,high_school,R,635.3478208381769,0.09440000000000004,1161.8115578044876,0.1472
321_3,321,126,high_school,R,595.9494171534527,0.08050000000000002,1117.8220339327454,0.15269999999999984
321_4,321,126,high_school,R,640.8290135623464,0.06669999999999998,680.3598764544687,0.11949999999999994
321_5,321,126,high_school,R,582.300089952466,0.09720000000000006,1123.2227276356411,0.15280000000000005
321_6,321,126,high_school,R,640.0649786398409,0.06109999999999993,1245.393071303775,0.11949999999999994
321_7,321,126,high_school,R,653.5013478146315,0.08889999999999998,1210.0204035814354,0.14440000000000008
321_8,321,126,high_school,R,637.2197921020972,0.07779999999999987,1210.0765994884002,0.13890000000000002
324_2,324,195,college,L,582.9778486724346,0.2694000000000001,1499.893176294402,0.31110000000000015
324_5,324,195,college,L,702.8784271437415,0.07780000000000009,1030.338402615791,0.11109999999999998
324_8,324,195,college,L,484.8656758094761,0.044499999999999984,1804.4882155971122,0.06109999999999993
342_1,342,200,college,L,733.5318382069452,0.06950000000000012,1600.1454773892622,0.0806
342_2,342,200,college,L,791.1565205940605,0.038899999999999935,1589.696676375012,0.0694999999999999
342_3,342,200,college,L,835.8872972760981,0.0693999999999999,1641.2347998102953,0.09159999999999968
342_4,342,200,college,L,754.1825139095378,0.061100000000000154,1665.104889977229,0.0806
342_5,342,200,college,L,751.114221707105,0.038899999999999935,1671.9179633225579,0.0915999999999999
342_6,342,200,college,L,846.5771357098182,0.06940000000000013,1596.0079357498853,0.08889999999999998
342_7,342,200,college,L,745.6132093107592,0.0777000000000001,1581.248128100321,0.08610000000000007
342_8,342,200,college,L,779.3158866369272,0.07780000000000031,1587.08869315313,0.10280000000000022
343_1,343,201,college,R,665.5923354027824,0.3889,2150.5445944989588,0.4667000000000001
343_2,343,201,college,R,711.4000955725195,0.3667,2278.587498663176,0.4417
343_3,343,201,college,R,735.7911108828987,0.15280000000000005,2118.8764042369694,0.22219999999999995
343_5,343,201,college,R,725.2995487817016,0.5777999999999999,1740.0814051160078,0.6499999999999999
343_6,343,201,college,R,736.0937404736845,0.21389999999999998,1708.7670272647294,0.2916000000000001
343_7,343,201,college,R,738.3291565375704,0.3639000000000001,1555.9435824189418,0.44730000000000003
343_8,343,201,college,R,762.9580210200689,0.18330000000000002,1955.9149789784678,0.2639
343_9,343,201,college,R,751.2473838591786,0.47219999999999995,1778.9209562865967,0.5555000000000001
349_1,349,121,high_school,R,664.8335563671632,0.0693999999999999,1865.1079240616239,0.1472
349_3,349,121,high_school,R,630.2077336207324,0.050000000000000044,1717.3480274179312,0.14160000000000017
349_4,349,121,high_school,R,641.5772576623489,0.05559999999999987,1958.6089658792514,0.14450000000000007
349_5,349,121,high_school,R,540.6005265877568,0.044399999999999995,1935.5407719567029,0.1472
349_6,349,121,high_school,R,567.7485237791112,0.038899999999999935,1956.6030370747258,0.13059999999999983
349_7,349,121,high_school,R,560.3577161148136,0.04169999999999985,1855.8954194378116,0.125
349_8,349,121,high_school,R,554.7317712560189,0.038899999999999935,1920.9472734054598,0.1360999999999999
350_1,350,207,high_school,R,800.1728438241828,0.11670000000000003,1757.6260288689798,0.19169999999999998
350_2,350,207,high_school,R,806.4554505158051,0.12229999999999996,1755.920944692915,0.2055999999999999
350_4,350,207,high_school,R,768.5186257854913,0.10840000000000005,1521.881249936466,0.17780000000000018
350_5,350,207,high_school,R,787.5880684548871,0.10830000000000006,1377.2240201278876,0.19720000000000004
350_6,350,207,high_school,R,764.8560712694318,0.09999999999999987,1353.0814568883204,0.20839999999999992
350_7,350,207,high_school,R,795.9957964102952,0.1028,1506.5014434156576,0.18330000000000002
350_8,350,207,high_school,R,811.1754870777223,0.10000000000000009,2802.856398934484,0.1473
353_1,353,98,college,L,735.9474157062107,0.04170000000000007,945.2889014879737,0.0889000000000002
353_2,353,98,college,L,653.7405290819133,0.050000000000000044,919.9679172463027,0.08609999999999984
353_3,353,98,college,L,698.6999474169223,0.04440000000000022,1055.2324318406347,0.08050000000000002
353_4,353,98,college,L,651.1168147592642,0.044499999999999984,1100.0370531889414,0.08340000000000014
353_5,353,98,college,L,650.8221093942184,0.04720000000000013,1397.0169916582047,0.10000000000000009
353_6,353,98,college,L,718.9456713394135,0.044399999999999995,1429.9536442494525,0.08609999999999984
353_7,353,98,college,L,718.8370709458785,0.044499999999999984,1135.046050402542,0.08889999999999998
353_8,353,98,college,L,720.8321423832597,0.055600000000000094,1189.036877897515,0.09719999999999995
358_1,358,58,college,L,675.1069913632431,0.31390000000000007,1071.2084060933707,0.3528
358_3,358,58,college,L,712.3567153383549,0.2056,1220.2747102027968,0.24170000000000003
358_5,358,58,college,L,668.6689131887993,0.2749999999999999,983.8312162850851,0.28889999999999993
358_6,358,58,college,L,688.8324860981152,0.2694000000000001,964.7563673003098,0.2833000000000001
358_7,358,58,college,L,686.5328212879629,0.20279999999999998,1149.6935889385875,0.24170000000000014
358_8,358,58,college,L,692.020837129938,0.19720000000000004,1049.041640315903,0.21110000000000007
360_1,360,210,college,R,717.1919955491765,0.22220000000000018,1545.0277905498465,0.2861
360_2,360,210,college,R,767.2396746279809,0.2139000000000001,1622.0778164149895,0.2722000000000001
360_3,360,210,college,R,813.4696968750158,0.09999999999999998,1505.5314847166828,0.15560000000000007
360_4,360,210,college,R,758.5422849324683,0.10000000000000009,1423.9873041761714,0.16110000000000002
360_5,360,210,college,R,776.4697588461061,0.16110000000000024,1541.9461675180946,0.23609999999999998
360_6,360,210,college,R,717.4239556524301,0.08889999999999998,1507.7972482179491,0.15829999999999989
360_7,360,210,college,R,670.8437403258154,0.2388999999999999,1450.4492122525664,0.34729999999999994
360_8,360,210,college,R,759.078508259093,0.6222,1470.8267889406793,0.6861
363_1,363,34,college,R,764.5387603449873,0.07780000000000009,1355.3690471041089,0.1694
363_2,363,34,college,R,824.8166503326481,0.07779999999999987,928.436776044772,0.15280000000000005
363_3,363,34,college,R,790.931616947698,0.08050000000000002,1370.4746481020873,0.15269999999999984
363_4,363,34,college,R,830.8452069280414,0.07780000000000009,1490.7000695314703,0.1583000000000001
363_5,363,34,college,R,854.8993532204244,0.08050000000000002,965.8331562967333,0.15549999999999997
363_6,363,34,college,R,845.2990826489345,0.05279999999999996,1523.7560554106815,0.17220000000000013
363_7,363,34,college,R,853.5741147953527,0.04719999999999991,1606.47801294568,0.16379999999999995
363_8,363,34,college,R,797.2127086056895,0.0694999999999999,908.2224071854756,0.1499999999999999
376_1,376,215,college,R,717.485506152396,0.06119999999999992,1595.6050886409832,0.1499999999999999
376_2,376,215,college,R,745.6660278560436,0.07779999999999987,1475.4179425867574,0.16110000000000002
